Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,Combined Force,,,Combined Moment,,,Combined CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
255,6,-0.288138,-5.03357,-721.284,11368.4,9248.66,-186.91,244.823,238.239,0,-0.288138,-5.03357,-721.284,-171987,178065,-1291.77,244.823,238.239,0
255,7,-0.290368,-4.98656,-721.965,11589.4,9157.42,-186.525,244.684,237.947,0,-0.290368,-4.98656,-721.965,-171937,178133,-1279.82,244.684,237.947,0
255,8,-0.294966,-5.43108,-722.006,11618.2,9283.86,-187.924,244.858,237.908,0,-0.294966,-5.43108,-722.006,-171938,178269,-1384.08,244.858,237.908,0
255,9,-0.307461,-5.59626,-722.069,12487.6,9085.72,-186.746,244.583,236.706,0,-0.307461,-5.59626,-722.069,-171092,178087,-1418.39,244.583,236.706,0
256,0,-0.295614,-5.50231,-721.806,11795.5,8965.36,-188.051,244.421,237.658,0,-0.295614,-5.50231,-721.806,-171713,177904,-1400.71,244.421,237.658,0
256,1,-0.300006,-5.8679,-721.571,11869.3,9053.15,-189.026,244.546,237.551,0,-0.300006,-5.8679,-721.571,-171596,177937,-1486.13,244.546,237.551,0
256,2,-0.299332,-5.82337,-722.257,11884.9,8976.55,-189.107,244.428,237.545,0,-0.299332,-5.82337,-722.257,-171752,178021,-1475.96,244.428,237.545,0
256,3,-0.30058,-5.71013,-723.442,12094.4,8840.7,-188.702,244.22,237.282,0,-0.30058,-5.71013,-723.442,-171839,178163,-1448.74,244.22,237.282,0
256,4,-0.305111,-5.85531,-723.581,12229.4,9032.25,-188.748,244.483,237.099,0,-0.305111,-5.85531,-723.581,-171745,178387,-1481.61,244.483,237.099,0
256,5,-0.307002,-6.06238,-723.111,12327.3,8899.61,-189.269,244.307,236.952,0,-0.307002,-6.06238,-723.111,-171538,178144,-1530.11,244.307,236.952,0
256,6,-0.311343,-6.40332,-722.962,12480.8,8852.2,-190.141,244.244,236.737,0,-0.311343,-6.40332,-722.962,-171361,178062,-1609.67,244.244,236.737,0
256,7,-0.289246,-3.60967,-723.059,12437.7,8668.27,-180.492,243.988,236.799,0,-0.289246,-3.60967,-723.059,-171306,177900,-951.83,243.988,236.799,0
256,8,-0.311213,-6.25194,-723.085,12737.2,8487.93,-189.432,243.739,236.385,0,-0.311213,-6.25194,-723.085,-171129,177727,-1573.57,243.739,236.385,0
256,9,-0.311976,-6.28545,-723.725,12777.8,8476.45,-189.652,243.712,236.344,0,-0.311976,-6.28545,-723.725,-171253,177865,-1581.44,243.712,236.344,0
257,0,-0.313539,-6.2716,-724.176,12950.5,8361.14,-189.457,243.546,236.117,0,-0.313539,-6.2716,-724.176,-171194,177855,-1577.6,243.546,236.117,0
257,1,-0.315824,-6.54531,-722.883,13008.5,8295.3,-190.003,243.475,236.005,0,-0.315824,-6.54531,-722.883,-170820,177487,-1641.63,243.475,236.005,0
257,2,-0.306344,-6.83295,-723.995,12212.9,8321.15,-193.143,243.493,237.131,0,-0.306344,-6.83295,-723.995,-171910,177773,-1714.49,243.493,237.131,0
257,3,-0.320611,-6.61023,-723.748,13286.1,8321.37,-189.816,243.498,235.643,0,-0.320611,-6.61023,-723.748,-170765,177716,-1655.42,243.498,235.643,0
257,4,-0.321393,-6.8056,-723.46,13360.7,8100.9,-190.493,243.197,235.532,0,-0.321393,-6.8056,-723.46,-170626,177428,-1701.62,243.197,235.532,0
257,5,-0.323249,-6.8941,-724.601,13464.4,8058.67,-190.939,243.122,235.418,0,-0.323249,-6.8941,-724.601,-170815,177653,-1722.31,243.122,235.418,0
257,6,-0.325453,-6.98096,-724.321,13577.3,8047.93,-190.922,243.111,235.255,0,-0.325453,-6.98096,-724.321,-170635,177577,-1742.06,243.111,235.255,0
257,7,-0.327143,-6.94591,-724.318,13718.6,8028.81,-190.492,243.085,235.06,0,-0.327143,-6.94591,-724.318,-170492,177557,-1733,243.085,235.06,0
257,8,-0.329381,-7.29869,-724.947,13777.9,7877.57,-191.953,242.866,234.995,0,-0.329381,-7.29869,-724.947,-170608,177553,-1816.45,242.866,234.995,0
257,9,-0.331063,-7.40694,-724.025,13857,7845.68,-191.93,242.836,234.861,0,-0.331063,-7.40694,-724.025,-170299,177305,-1841.33,242.836,234.861,0
258,0,-0.330176,-7.04929,-723.477,14002.2,7786.71,-190.227,242.763,234.646,0,-0.330176,-7.04929,-723.477,-169999,177118,-1756.16,242.763,234.646,0
258,1,-0.333014,-7.75536,-721.946,13925,7650.73,-192.633,242.597,234.712,0,-0.333014,-7.75536,-721.946,-169719,176624,-1923.08,242.597,234.712,0
258,2,-0.343875,-7.49299,-724.78,14213.1,8734.08,-190.697,244.051,234.39,0,-0.343875,-7.49299,-724.78,-170139,178371,-1856.99,244.051,234.39,0
258,3,-0.337445,-7.66623,-724.828,14283.8,7614.66,-192.348,242.505,234.294,0,-0.337445,-7.66623,-724.828,-170088,177262,-1900.82,242.505,234.294,0
258,4,-0.338034,-7.69768,-725.463,14375.2,7486.38,-192.566,242.319,234.185,0,-0.338034,-7.69768,-725.463,-170159,177283,-1908.24,242.319,234.185,0
258,5,-0.339465,-7.76254,-725.092,14451.7,7466.04,-192.539,242.297,234.069,0,-0.339465,-7.76254,-725.092,-169991,177176,-1923.03,242.297,234.069,0
258,6,-0.342008,-7.93705,-724.946,14583.9,7381.24,-192.906,242.182,233.883,0,-0.342008,-7.93705,-724.946,-169830,177057,-1963.59,242.182,233.883,0
258,7,-0.342975,-8.05351,-724.656,14731.6,7118.49,-193.178,241.823,233.671,0,-0.342975,-8.05351,-724.656,-169614,176726,-1990.88,241.823,233.671,0
258,8,-0.345265,-8.00068,-724.984,14795.7,7338.83,-192.703,242.123,233.592,0,-0.345265,-8.00068,-724.984,-169630,177024,-1977.46,242.123,233.592,0
258,9,-0.346879,-8.26569,-725.479,14826.2,7243.03,-193.82,241.984,233.564,0,-0.346879,-8.26569,-725.479,-169737,177044,-2040.18,241.984,233.564,0
259,0,-0.358571,-9.89192,-724.207,14846.7,7211.27,-199.249,241.957,233.499,0,-0.358571,-9.89192,-724.207,-169466,176715,-2423.23,241.957,233.499,0
259,1,-0.353949,-8.38873,-724.998,15375,6996.96,-193.124,241.651,232.793,0,-0.353949,-8.38873,-724.998,-169072,176685,-2066.49,241.651,232.793,0
259,2,-0.34797,-7.89398,-725.336,15167.5,7077.82,-191.845,241.758,233.089,0,-0.34797,-7.89398,-725.336,-169343,176845,-1950.94,241.758,233.089,0
259,3,-0.352251,-8.32355,-724.591,15265.9,7046.88,-192.973,241.725,232.932,0,-0.352251,-8.32355,-724.591,-169075,176640,-2051.52,241.725,232.932,0
