Devices
1000
,,FP1 - Force,,,FP1 - Moment,,,FP1 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
13,8,-0.533672,-2.95209,-714.253,9433.32,46379.5,-142.743,296.934,240.793,0
13,9,-0.529774,-2.7541,-713.893,9264.19,46383,-142.319,296.972,241.023,0
14,0,-0.531093,-2.7733,-714.389,9421.35,46235.3,-142.323,296.72,240.812,0
14,1,-0.531375,-2.73125,-714.807,9400.47,46349,-142.22,296.841,240.849,0
14,2,-0.531409,-2.69635,-714.118,9434.32,46322.7,-141.85,296.867,240.789,0
14,3,-0.518668,-2.90723,-714.913,8478.28,46305.7,-145.039,296.771,242.141,0
14,4,-0.53351,-2.90837,-714.438,9430.64,46403.5,-142.62,296.951,240.8,0
14,5,-0.533336,-2.86322,-714.665,9469.6,46348.3,-142.493,296.853,240.75,0
14,6,-0.531882,-2.78483,-714.344,9439.83,46291,-142.25,296.802,240.785,0
14,7,-0.527814,-2.84775,-709.626,9151.49,46268.1,-141.821,297.201,241.104,0
14,8,-0.526065,-2.75346,-714.778,9455.84,45541.7,-143.015,295.715,240.771,0
14,9,-0.531716,-2.68478,-714.757,9490.61,46264.5,-141.922,296.728,240.722,0
15,0,-0.532707,-2.87224,-714.568,9491.83,46217.2,-142.585,296.679,240.717,0
15,1,-0.533987,-3.01492,-714.197,9527.62,46183.1,-142.942,296.664,240.66,0
15,2,-0.534279,-2.93531,-720.116,9537.21,46263.1,-144.232,296.244,240.756,0
15,3,-0.531354,-2.89281,-714.198,9452.93,46099.2,-142.767,296.547,240.764,0
15,4,-0.5326,-2.88204,-714.793,9528.3,46124.7,-142.697,296.529,240.67,0
15,5,-0.532503,-2.96044,-714.794,9473.8,46143.6,-143.082,296.555,240.746,0
15,6,-0.540914,-3.08274,-714.731,9497.01,47067.1,-142.473,297.853,240.712,0
15,7,-0.558571,-6.4139,-714.031,9595.3,46082.6,-154.976,296.539,240.562,0
15,8,-0.535169,-3.05552,-713.959,9665.09,46037.1,-142.858,296.482,240.463,0
15,9,-0.532948,-3.03541,-713.872,9507.43,46069.9,-143.089,296.535,240.682,0
16,0,-0.533745,-3.09091,-714.511,9547.1,46044.4,-143.404,296.442,240.638,0
16,1,-0.531656,-2.89329,-714.565,9467.04,46110,-142.829,296.529,240.751,0
16,2,-0.516801,-0.421411,-716.761,9719.26,45994.7,-134.173,296.17,240.44,0
16,3,-0.532762,-3.26835,-714.004,9418.03,46000.9,-144.236,296.427,240.81,0
16,4,-0.533845,-3.24412,-713.772,9526.09,45957.6,-143.881,296.387,240.654,0
16,5,-0.533178,-3.06685,-713.958,9561.58,45967.5,-143.209,296.384,240.608,0
16,6,-0.533115,-3.17737,-713.452,9510.14,45956.3,-143.59,296.414,240.67,0
16,7,-0.498993,-3.22514,-714.413,7221.28,45873.9,-149.371,296.212,243.892,0
16,8,-0.531988,-3.05589,-714.187,9515.12,45912.6,-143.4,296.286,240.677,0
16,9,-0.533197,-3.13229,-714.274,9581.72,45870.8,-143.588,296.22,240.585,0
17,0,-0.533991,-3.2643,-713.492,9571.4,45872.4,-143.86,296.293,240.585,0
17,1,-0.533773,-3.25217,-713.124,9580.98,45838.2,-143.726,296.278,240.565,0
17,2,-0.538968,-3.25987,-713.164,9916.78,45860.7,-142.971,296.306,240.095,0
17,3,-0.532422,-3.08624,-713.814,9592.47,45794.2,-143.35,296.154,240.562,0
17,4,-0.530911,-3.15002,-714.125,9588.54,45548.3,-143.934,295.782,240.573,0
17,5,-0.53473,-3.38527,-713.945,9607.98,45785.6,-144.427,296.131,240.542,0
17,6,-0.53556,-3.59605,-714.261,9580.39,45749.9,-145.37,296.052,240.587,0
17,7,-0.5328,-3.21294,-726.737,9607.74,45669.6,-147.567,294.842,240.78,0
17,8,-0.533826,-3.38259,-713.389,9621.24,45648.1,-144.375,295.988,240.513,0
17,9,-0.537759,-3.45509,-713.175,9602.07,46123.1,-144.116,296.673,240.536,0
18,0,-0.533318,-3.29491,-713.805,9615.78,45673,-144.166,295.985,240.529,0
18,1,-0.532243,-3.20524,-713.53,9614.51,45620.5,-143.826,295.936,240.525,0
18,2,-0.531179,-3.46781,-718.341,9440.86,45561.5,-146.59,295.426,240.857,0
